2165 1       420
2775 2       840
2745 3      1260
2815 4      1680
2310 5      2100
3080 6      2520
2820 7      2940
2130 8      3360
3385 9      3780
2485 10      4200
2745 11      4620
2930 12      5040
2450 13      5460
2285 14      5880
2080 15      6300
2365 16      6720
1885 17      7140
1730 18      7560
2300 19      7980
2035 20      8400
1715 21      8820
2090 22      9240
2150 23      9660
2505 24     10080
2905 25     10500
2415 26     10920
2395 27     11340
2050 28     11760
2020 29     12180
1955 30     12600
2335 31     13020
2155 32     13440
2060 33     13860
2225 34     14280
2280 35     14700
2320 36     15120
2105 37     15540
2400 38     15960
2300 39     16380
3010 40     16800
2875 41     17220
2475 42     17640
2340 43     18060
2085 44     18480
2455 45     18900
2255 46     19320
2380 47     19740
2505 48     20160
2415 49     20580
2425 50     21000
2300 51     21420
2245 52     21840
2285 53     22260
2355 54     22680
2395 55     23100
2640 56     23520
2415 57     23940
2275 58     24360
2330 59     24780
2480 60     25200
2395 61     25620
2335 62     26040
2240 63     26460
2385 64     26880
2420 65     27300
2280 66     27720
2545 67     28140
2390 68     28560
2545 69     28980
2290 70     29400
2420 71     29820
2380 72     30240
2240 73     30660
2715 74     31080
2440 75     31500
2585 76     31920
2490 77     32340
2245 78     32760
2500 79     33180
2385 80     33600
2185 81     34020
2485 82     34440
2390 83     34860
2445 84     35280
2570 85     35700
2525 86     36120
2395 87     36540
2530 88     36960
2455 89     37380
2470 90     37800
2665 91     38220
2410 92     38640
2395 93     39060
2250 94     39480
2370 95     39900
2535 96     40320
2325 97     40740
2280 98     41160
2405 99     41580
2560 100     42000
2225 101     42420
2480 102     42840
2390 103     43260
2625 104     43680
2515 105     44100
2480 106     44520
2485 107     44940
2665 108     45360
2320 109     45780
2370 110     46200
2655 111     46620
2470 112     47040
2415 113     47460
2285 114     47880
2450 115     48300
2210 116     48720
2585 117     49140
2310 118     49560
2595 119     49980
2785 120     50400
2495 121     50820
2625 122     51240
2560 123     51660
2565 124     52080
2350 125     52500
2310 126     52920
2705 127     53340
2540 128     53760
2680 129     54180
2595 130     54600
2570 131     55020
2595 132     55440
2485 133     55860
2470 134     56280
2480 135     56700
2365 136     57120
2540 137     57540
2465 138     57960
2365 139     58380
2425 140     58800
2280 141     59220
2625 142     59640
2435 143     60060
2730 144     60480
2430 145     60900
2310 146     61320
2475 147     61740
2405 148     62160
2610 149     62580
2410 150     63000
2380 151     63420
2270 152     63840
2490 153     64260
2385 154     64680
2425 155     65100
2355 156     65520
2360 157     65940
2560 158     66360
2445 159     66780
2595 160     67200
2605 161     67620
2465 162     68040
2615 163     68460
2310 164     68880
2555 165     69300
2400 166     69720
2330 167     70140
2555 168     70560
