1320 1       420
1420 2       840
1165 3      1260
1420 4      1680
1490 5      2100
1815 6      2520
1440 7      2940
1855 8      3360
1990 9      3780
2290 10      4200
1770 11      4620
1750 12      5040
2450 13      5460
1855 14      5880
2645 15      6300
2135 16      6720
1970 17      7140
2220 18      7560
3195 19      7980
1880 20      8400
2400 21      8820
2030 22      9240
1570 23      9660
2355 24     10080
2160 25     10500
2215 26     10920
1560 27     11340
2435 28     11760
2665 29     12180
1990 30     12600
1430 31     13020
1970 32     13440
1845 33     13860
3030 34     14280
1985 35     14700
1390 36     15120
1745 37     15540
2540 38     15960
1850 39     16380
1425 40     16800
1880 41     17220
1500 42     17640
1950 43     18060
2675 44     18480
1635 45     18900
2165 46     19320
2660 47     19740
2000 48     20160
2115 49     20580
2580 50     21000
1685 51     21420
1870 52     21840
2615 53     22260
2325 54     22680
1735 55     23100
1615 56     23520
2045 57     23940
1590 58     24360
1720 59     24780
2825 60     25200
1230 61     25620
1605 62     26040
2535 63     26460
1515 64     26880
1295 65     27300
2065 66     27720
1665 67     28140
1675 68     28560
1735 69     28980
2265 70     29400
2600 71     29820
1960 72     30240
1685 73     30660
1820 74     31080
2460 75     31500
2405 76     31920
1370 77     32340
1530 78     32760
2250 79     33180
1020 80     33600
1900 81     34020
1210 82     34440
2360 83     34860
2125 84     35280
1300 85     35700
2265 86     36120
2395 87     36540
2460 88     36960
2135 89     37380
1935 90     37800
2365 91     38220
1940 92     38640
2020 93     39060
1860 94     39480
2010 95     39900
1405 96     40320
1760 97     40740
2150 98     41160
2215 99     41580
2465 100     42000
1640 101     42420
1615 102     42840
1720 103     43260
2195 104     43680
2405 105     44100
2510 106     44520
2115 107     44940
1715 108     45360
2495 109     45780
