2785 0.32
1545 0.65
2005 1.0
1265 1.32
2410 1.67
1715 2.02
1975 2.35
1875 2.7
2215 3.05
2625 3.4
2960 3.75
1500 4.1
1590 4.43
2395 4.78
2120 5.12
1470 5.47
1365 5.78
2055 6.12
2185 6.45
2855 6.78
2420 7.12
2355 7.47
1190 7.78
1510 8.12
2355 8.48
3880 8.87
3785 9.23
3425 9.6
1725 9.95
2655 10.32
2300 10.67
3005 11.02
1505 11.4
1570 11.75
2870 12.12
2240 12.48
1085 12.8
3035 13.17
2675 13.52
2160 13.88
980 14.22
2120 14.57
1470 14.92
1135 15.25
620 15.57
750 15.87
555 16.2
745 16.52
870 16.83
825 17.17
185 17.5
620 17.82
175 18.17
610 18.48
490 18.8
985 19.17
3005 19.58
2745 19.97
2410 20.35
3005 20.75
3795 21.15
2775 21.53
3235 21.93
2670 22.27
2720 22.65
2735 23.03
3065 23.37
4295 23.73
3670 24.13
3000 24.45
2195 24.82
2305 25.13
2790 25.47
4040 25.8
2685 26.13
3670 26.53
2890 26.88
2815 27.23
2800 27.63
2855 27.97
2890 28.3
2590 28.63
3035 28.98
2295 29.37
2290 29.7
2805 30.07
2515 30.38
2880 30.77
3485 31.18
3620 31.53
3475 31.87
3690 32.22
4370 32.58
4590 32.97
4315 33.32
2975 33.67
2965 34.0
3675 34.33
3075 34.67
3615 35.02
3130 35.35
4385 35.7
4475 36.05
3950 36.42
4380 36.78
3135 37.13
4605 37.48
3960 37.85
4105 38.18
4220 38.53
3120 38.88
4030 39.23
4070 39.63
3205 40.0
4375 40.35
3370 40.73
4170 41.12
3920 41.48
4020 41.9
3610 42.3
2925 42.67
3255 43.02
3370 43.4
4210 43.78
4670 44.15
4395 44.53
4400 44.92
3750 45.28
3205 45.62
2585 45.97
2835 46.35
3200 46.72
4360 47.07
3955 47.47
4165 47.83
4425 48.22
4155 48.62
3400 49.03
2660 49.4
4565 49.78
4055 50.17
4395 50.53
4730 50.9
4160 51.3
3155 51.68
4415 52.05
4710 52.43
4315 52.8
4340 53.17
3820 53.52
4410 53.85
4565 54.22
4700 54.6
4045 54.93
4600 55.28
4070 55.62
3965 55.97
4460 56.32
4460 56.65
4495 57.0
4280 57.35
4170 57.68
4530 58.03
2935 58.35
4560 58.7
4010 59.03
