123362 104    123362    0    0  1000    825      0    472   1064   9   2
125056 105    125056    1   11  2450    650      0   3276   1955   8   4
126206 106    126206    0    0   850    250      0    951    541   1   0
127337 107    127337   15    0   750      0      0     12    562   1   0
128482 108    128482    0    0   800    500      0     19    558   0   0
129587 109    129587    0    0   800    300      0    755    529   0   0
131275 110    131275    0    1  2100   1625      0   2941    867  14   9
132380 111    132380    0    0   650    400      0      1    583   0   0
133675 112    133675    0    0   900    400      0    524    597   7   4
134843 113    134843   11    0  1350      0      0   2518    305   6   0
136438 114    136438    0    0  1000     50      0   2034   1349   9   3
138154 115    138154    3   11  3150   4225    875   2835   1208  13  22
139849 116    139849    0    2  1350    225      0   2007   1019  17  16
141567 117    141567    0    2  1200    150      0   3254   1702   3   2
142863 118    142863    0    0   950    150      0   3451    537  10   1
144072 119    144072    0    0  1100    350      0    861    501  18   1
145227 120    145227    0    0   600      0      0   1524    625  18   1
146931 121    146931    0    0  2000   1500      0   2909    652  21   6
148140 122    148140    0    0   700     50      0   4026    637   0   0
149357 123    149357    0    0  1050      0      0   2338    511   0   0
150570 124    150570    0    0   700    700      0    145    622   0   0
151991 125    151991    0    0  1300    200      0   3304    479   5   1
153222 126    153222    0    0  1000     50      0   2874    505   4   0
154449 127    154449    0    0   850      0      0   3526    567   4   0
156189 128    156189    0    0  1450    375      0   2522   1767   6   5
157646 129    157646    0    0  1300    475      0   1182    551  15   4
158868 130    158868    0    0   650    450      0    112    639   0   0
160066 131    160066    0    0   700      0      0   1906    618   0   0
161786 132    161786    0    0   700      0      0   1329    904   0   0
163028 133    163028    0    0   650    550      0    582    646   0   0
164714 134    164714    2    2  1650    250      0   2821    441  31  10
166453 135    166453    9    0  1750    900      0   3782    542  12   2
168186 136    168186    0    0  1000    350      0   2555    802   0   0
169527 137    169527    0    0   850      0      0   1084   1104  10   1
171246 138    171246    0    0  1600    425      0   4116    551   4   1
172967 139    172967    0    0  1300   2800      0   4206    851   5   1
174129 140    174129    0    0   900    200      0   3081    533   2   0
175245 141    175245    0    0   950    250      0    558    486   1   0
176489 142    176489    0    0   800      0      0   1984    603   5   0
178198 143    178198    0    1  1900   2225      0   2125    908  16   7
179357 144    179357    6    0  1100     50      0   4173    342   0   0
179821 145    179821   15    0   750   1000    825    152    201   7   0
180352 146    180352   13    0   650   1100    825     87    270   0   0
181524 147    181524    0    0  1000    100      0   1823    485   4   1
182890 148    182890    0    0  1500    450      0   1624    498   6   7
184128 149    184128    0    0  1150    250      0   1961    411   8   0
185861 150    185861    0    0  1400    875      0   1938    997   3   5
187436 151    187436    0    0   950    400      0   2782   1379   2   2
188870 152    188870    0    0  1250    275      0   3475    703  20  10
190610 153    190610    0    0  1050     50      0   2372   1239  11   2
191753 154    191753    0    0   850     50      0   2210    532   0   0
193238 155    193238    0    0   650    900    225      0    788   0   0
194404 156    194404    0    0   650    400      0     80    604   0   0
196143 157    196143    0    1  2100   1225      0   3103   1557  11   8
197397 158    197397    0    0   950    250      0    990    566   1   0
197841 159    197841   16    0   950    950    725      0     87   2   0
199586 160    199586    0    0   750    350      0     58    887   0   0
200540 161    200540    3    0   750    700    725     36    462   0   0
201639 162    201639    0    0   850    400      0    249    503   0   0
202848 163    202848    0    0   700     50      0    758    617   0   0
204084 164    204084    0    0  1000    325      0   1399    538   4   0
205366 165    205366    0    0  1050    350      0   1861    485   5   0
205939 166    205939   11    0   850    700    725    531    218   0   0
206475 167    206475    8    0   650    900    725     78    279   0   0
207625 168    207625    0    0   650      0      0   1142    599   0   0
208860 169    208860    0    0   700    550      0     36    627   0   0
210107 170    210107    0    0  1150    150      0    673    451   6   1
211847 171    211847    0    0  1100    400      0   4203   1478   3   2
213582 172    213582    0    0   900    250      0   2371    836   2   0
215038 173    215038    0    0  1300    225      0   2574   1340   4   3
216765 174    216765   12    7  2300   1050      0   2204    330  12   9
217912 175    217912    0    0  1050    600      0    458    473   3   0
219069 176    219069    0    0  1000      0      0   3172    481   0   0
220580 177    220580    0    0   900    300      0   3081    711   3   0
221717 178    221717    0    0   650    450      0     37    598   0   0
222872 179    222872    0    0   850    350      0    802    531   0   0
224113 180    224113    0    0   850    450      0   1346    579   6   0
225245 181    225245    0    0   950     50      0   1926    493   4   0
226448 182    226448    0    0   750      0      0   1521    595   0   0
228175 183    228175    8    0  2250    775    400   3752    290  30  11
229332 184    229332    0    0   800    550      0     63    552   2   0
230437 185    230437    0    0   650    350      0     42    574   0   0
