124630 104    124630    7    5  1800    575      0    637    647  13   6
125888 105    125888    0    0  1450    200      0   2305    392  14   0
127551 106    127551    1    0  1600    700      0   1440    598   3   1
128726 107    128726    0    0   900      0      0   1572    555   3   0
129942 108    129942    0    0  1050    425      0   1436    519   5   0
131062 109    131062    0    0   950    450      0   1822    498   3   0
132790 110    132790    0    0   700    800      0      0    904   1   0
134517 111    134517    0    0   950   1100      0    915    819   4   0
135041 112    135041   20    0  1000   1050    825    246    103   2   0
136131 113    136131    0    0   700    450      0    118    583   0   0
137864 114    137864    0    0  1950   1200      0    132   2368   8  11
139535 115    139535    0    0  1300    350      0   2538    700   1   0
140685 116    140685    0    0   700     50      0   1092    610   3   0
142420 117    142420    0    8  2550   2525      0   1203    513  14  13
143504 118    143504    0    0   850    150      0    978    507   0   0
144588 119    144588   15    0   750      0      0     12     20   0   0
145054 120    145054    6    0   750    900    575      3    214   0   0
146082 121    146082    0    0   600    350      0      8    595   0   0
147142 122    147142    0    0   650      0      0   1850    584   0   0
148877 123    148877    4    0  1650    825      0    291    581   0   0
150581 124    150581    0    0  1550    400      0   3915   1114   7   6
151746 125    151746    0    0  1100    200      0    605    446   3   0
152294 126    152294    8    0   600    950    825     35    310   3   0
152779 127    152779    7    0   700    700    725     51    230   3   0
153302 128    153302   21    0  1100   1000   1050    242    130   8   0
154983 129    154983    0    0  1550   2500    875   1691   1142   2   1
155640 130    155640    9    0   750   1250    825    133    309   0   0
156784 131    156784    0    0  1050    150      0   3095    446   2   0
158031 132    158031    0    0  1000      0      0   4017    555   4   0
159180 133    159180    0    0   850    150      0   1242    537   1   0
159554 134    159554   15    0   750    950    650     38    152   0   0
160621 135    160621    1    0  1200    350      0    532    375   2   0
162342 136    162342    0    0  1850    700      0   2693    513  18   1
163622 137    163622    0    0   900    100      0   2033    600   5   0
165304 138    165304    0    0  1050    300      0   2131   1058  10   1
166503 139    166503    0    0   600    250      0     36    653   2   0
168032 140    168032    0    0  1250    525      0   3055    574  10   0
169253 141    169253    0    0   900    250      0    650    570   6   0
170968 142    170968    0    0  1200    800      0   5421    637  16   2
172681 143    172681    0    0  1550   1050      0    719    615   9   0
173472 144    173472   10    0  1050    800    875    208    271   1   0
174716 145    174716    0    0   950    350      0    317    557   6   0
176412 146    176412   11    8  2850   3250    100   2064    884  10   4
