2070 0.83
1110 1.68
2815 2.4
1495 3.12
2330 3.83
1935 4.55
2000 5.27
1450 6.02
1890 6.72
1045 7.43
955 8.13
1010 8.85
1365 9.57
1800 10.25
1410 10.97
1275 11.68
1665 12.42
1630 13.12
1810 13.82
1420 14.5
1695 15.18
1450 15.9
1935 16.62
1635 17.33
2540 18.03
2220 18.77
2300 19.48
765 20.2
2285 20.95
1235 21.7
1985 22.42
2100 23.17
1405 23.88
2095 24.65
1260 25.4
1205 26.1
1255 26.85
855 27.57
1785 28.28
2450 29.0
1215 29.73
320 30.38
1565 31.1
1475 31.85
2220 32.6
1165 33.32
1440 34.03
870 34.77
685 35.48
695 36.2
1285 36.93
1920 37.65
1600 38.35
505 39.07
815 39.78
995 40.52
995 41.22
455 42.0
1140 42.75
945 43.47
1055 44.22
925 44.97
525 45.7
780 46.47
860 47.23
735 47.97
950 48.72
325 49.42
795 50.13
925 50.9
360 51.58
725 52.27
500 52.97
480 53.63
1410 54.35
2015 55.13
375 55.85
615 56.53
0 57.2
1745 58.0
270 58.72
840 59.48
595 60.18
335 60.82
195 61.58
420 62.27
530 62.98
760 63.73
870 64.45
2145 65.22
1030 65.97
375 66.72
305 67.45
0 68.08
340 68.83
160 69.62
135 70.35
1685 71.15
940 71.87
1820 72.57
235 73.3
1950 74.0
1440 74.8
450 75.52
3055 76.25
1535 76.98
1370 77.72
1860 78.45
1650 79.1
1300 79.8
2035 80.48
1755 81.18
1985 81.87
1855 82.55
830 83.27
1440 83.95
1525 84.72
175 85.42
835 86.17
