2725 1       420  29
2125 2       840  25
2080 3      1260  29
1730 4      1680  29
1920 5      2100  27
1825 6      2520  25
2400 7      2940  31
2090 8      3360  28
1920 9      3780  28
2320 10      4200  29
 975 11      4620  23
3105 12      5040  29
2920 13      5460  27
2115 14      5880  24
1470 15      6300  26
1965 16      6720  27
2370 17      7140  28
1405 18      7560  27
2160 19      7980  25
1800 20      8400  23
2260 21      8820  28
1520 22      9240  26
1980 23      9660  28
1435 24     10080  26
 990 25     10500  23
1455 26     10920  26
1820 27     11340  26
1810 28     11760  25
1915 29     12180  24
1500 30     12600  27
2605 31     13020  31
1630 32     13440  25
1670 33     13860  26
1480 34     14280  27
2040 35     14700  27
1815 36     15120  28
2465 37     15540  31
2115 38     15960  28
1145 39     16380  24
 915 40     16800  23
1930 41     17220  28
2465 42     17640  28
2875 43     18060  28
2520 44     18480  26
2620 45     18900  27
2430 46     19320  29
1525 47     19740  26
1530 48     20160  27
 690 49     20580  18
2365 50     21000  28
2455 51     21420  28
 760 52     21840  19
2290 53     22260  27
1545 54     22680  24
2305 55     23100  27
2190 56     23520  27
1515 57     23940  26
 490 58     24360  19
3045 59     24780  28
1900 60     25200  29
1260 61     25620  22
1615 62     26040  24
2415 63     26460  28
2425 64     26880  26
2450 65     27300  30
2195 66     27720  25
2265 67     28140  26
2785 68     28560  25
3155 69     28980  28
2535 70     29400  29
2610 71     29820  30
2390 72     30240  29
2360 73     30660  26
2925 74     31080  28
4340 75     31500  33
2990 76     31920  29
1205 77     32340  20
2495 78     32760  29
1700 79     33180  27
2300 80     33600  31
2195 81     34020  27
2730 82     34440  29
3590 83     34860  30
3955 84     35280  31
2700 85     35700  29
4170 86     36120  32
3125 87     36540  29
2765 88     36960  15
3155 89     37380  32
3500 90     37800  30
2660 91     38220  28
3680 92     38640  30
3000 93     39060  31
2630 94     39480  26
3625 95     39900  30
3205 96     40320  29
3510 97     40740  30
3780 98     41160  32
3100 99     41580  32
3225 100     42000  30
3925 101     42420  30
4375 102     42840  32
3735 103     43260  32
3565 104     43680  30
3880 105     44100  30
3975 106     44520  31
3560 107     44940  31
3465 108     45360  30
3830 109     45780  32
4080 110     46200  31
3785 111     46620  29
4010 112     47040  33
3785 113     47460  32
3485 114     47880  30
3805 115     48300  32
3725 116     48720  30
3615 117     49140  32
3845 118     49560  31
4025 119     49980  32
3850 120     50400  31
3800 121     50820  32
3640 122     51240  31
3010 123     51660  29
3520 124     52080  31
3670 125     52500  31
3520 126     52920  30
3655 127     53340  30
3970 128     53760  30
4230 129     54180  32
3890 130     54600  31
3285 131     55020  15
3950 132     55440  32
4120 133     55860  33
3800 134     56280  32
3330 135     56700  31
4140 136     57120  32
3875 137     57540  31
3480 138     57960  30
3840 139     58380  30
4530 140     58800  33
3735 141     59220  31
3980 142     59640  32
4350 143     60060  33
3680 144     60480  31
3855 145     60900  32
3630 146     61320  30
3115 147     61740  15
3260 148     62160  29
4015 149     62580  33
3890 150     63000  31
3565 151     63420  31
4155 152     63840  31
4340 153     64260  32
4255 154     64680  33
4060 155     65100  32
4050 156     65520  30
3955 157     65940  32
4545 158     66360  33
3870 159     66780  31
2905 160     67200  15
4280 161     67620  33
3205 162     68040  15
3790 163     68460  30
4075 164     68880  31
4110 165     69300  32
4205 166     69720  33
4015 167     70140  32
4490 168     70560  33
4085 169     70980  32
4545 170     71400  33
3935 171     71820  31
4130 172     72240  31
3845 173     72660  31
3790 174     73080  29
3990 175     73500  32
3175 176     73920  15
4295 177     74340  33
3885 178     74760  30
3840 179     75180  30
3700 180     75600  23
2860 181     76020  15
4190 182     76440  33
4515 183     76860  33
3200 184     77280  15
3540 185     77700  32
3890 186     78120  30
3740 187     78540  32
4220 188     78960  32
3325 189     79380  15
4040 190     79800  31
4230 191     80220  33
3105 192     80640  15
2975 193     81060  15
4160 194     81480  32
3870 195     81900  31
3250 196     82320  15
4610 197     82740  34
3250 198     83160  15
3975 199     83580  32
3990 200     84000  32
3315 201     84420  15
4040 202     84840  32
4160 203     85260  32
4300 204     85680  32
4225 205     86100  32
4610 206     86520  33
3690 207     86940  31
2895 208     87360  15
4025 209     87780  33
4100 210     88200  32
2955 211     88620  15
4270 212     89040  23
4245 213     89460  32
4145 214     89880  33
4190 215     90300  33
4250 216     90720  31
2965 217     91140  15
3910 218     91560  31
4035 219     91980  31
3030 220     92400  15
4510 221     92820  33
4190 222     93240  31
4200 223     93660  32
4215 224     94080  31
4255 225     94500  32
3305 226     94920  15
4195 227     95340  33
3790 228     95760  32
4235 229     96180  32
4410 230     96600  33
4110 231     97020  32
4435 232     97440  33
4280 233     97860  32
4360 234     98280  33
4020 235     98700  32
4490 236     99120  33
4200 237     99540  33
3035 238     99960  15
4015 239    100380  30
4430 240    100800  33
4210 241    101220  32
4220 242    101640  32
3995 243    102060  32
4625 244    102480  33
4180 245    102900  31
3710 246    103320  31
4540 247    103740  33
3650 248    104160  30
4435 249    104580  33
4555 250    105000  33
4190 251    105420  33
4285 252    105840  33
3965 253    106260  31
4520 254    106680  32
4510 255    107100  33
4280 256    107520  31
4045 257    107940  29
4420 258    108360  33
4795 259    108780  34
4575 260    109200  33
4115 261    109620  32
3595 262    110040  29
3625 263    110460  15
4525 264    110880  34
3225 265    111300  15
4250 266    111720  33
4030 267    112140  30
4350 268    112560  32
4620 269    112980  34
3935 270    113400  31
3775 271    113820  29
2990 272    114240  15
3920 273    114660  31
4150 274    115080  32
4215 275    115500  31
4365 276    115920  32
4090 277    116340  32
4150 278    116760  30
4510 279    117180  33
4305 280    117600  31
3475 281    118020  26
3785 282    118440  30
4465 283    118860  32
4195 284    119280  23
4365 285    119700  32
3900 286    120120  29
3275 287    120540  15
3925 288    120960  31
4445 289    121380  33
3765 290    121800  29
3725 291    122220  29
3775 292    122640  31
3965 293    123060  31
4145 294    123480  31
4475 295    123900  33
4035 296    124320  30
4110 297    124740  32
4335 298    125160  31
4440 299    125580  33
4460 300    126000  33
3580 301    126420  28
4295 302    126840  32
4560 303    127260  34
2895 304    127680  15
3965 305    128100  32
2870 306    128520  15
3040 307    128940  15
3310 308    129360  15
3105 309    129780  15
3665 310    130200  29
4440 311    130620  33
4310 312    131040  33
4455 313    131460  33
4410 314    131880  31
3330 315    132300  15
3110 316    132720  15
3325 317    133140  15
4095 318    133560  32
3925 319    133980  23
4080 320    134400  32
4085 321    134820  30
3990 322    135240  31
4290 323    135660  31
2910 324    136080  15
4360 325    136500  33
4450 326    136920  33
4015 327    137340  31
4100 328    137760  31
4060 329    138180  31
4455 330    138600  33
4115 331    139020  31
2975 332    139440  15
4315 333    139860  31
4170 334    140280  31
4465 335    140700  33
3990 336    141120  30
4405 337    141540  32
4425 338    141960  33
4150 339    142380  31
4380 340    142800  32
4460 341    143220  33
3880 342    143640  32
3775 343    144060  30
3240 344    144480  15
3045 345    144900  15
3815 346    145320  31
3965 347    145740  32
4435 348    146160  34
3955 349    146580  30
4175 350    147000  32
3005 351    147420  15
3595 352    147840  28
4265 353    148260  31
4520 354    148680  31
4550 355    149100  33
3330 356    149520  15
3195 357    149940  15
3105 358    150360  15
3875 359    150780  29
4705 360    151200  34
4390 361    151620  33
3875 362    152040  29
4235 363    152460  31
4155 364    152880  32
4395 365    153300  32
4255 366    153720  33
4290 367    154140  32
3095 368    154560  15
3080 369    154980  15
4685 370    155400  33
3315 371    155820  15
4200 372    156240  32
4105 373    156660  32
4055 374    157080  30
4320 375    157500  32
3920 376    157920  31
4020 377    158340  23
4605 378    158760  33
4005 379    159180  31
3910 380    159600  30
4285 381    160020  32
3535 382    160440  15
3890 383    160860  30
4590 384    161280  33
4510 385    161700  31
4455 386    162120  31
4520 387    162540  33
4470 388    162960  31
4120 389    163380  32
4505 390    163800  32
3810 391    164220  23
4130 392    164640  32
4420 393    165060  32
3260 394    165480  15
4550 395    165900  32
4630 396    166320  33
3240 397    166740  15
4380 398    167160  30
3170 399    167580  15
3245 400    168000  15
3285 401    168420  23
4360 402    168840  32
3070 403    169260  15
3440 404    169680  15
3265 405    170100  15
4105 406    170520  31
3475 407    170940  31
4190 408    171360  23
4570 409    171780  34
4015 410    172200  31
4450 411    172620  32
3000 412    173040  15
4405 413    173460  31
3705 414    173880  28
3200 415    174300  15
4155 416    174720  23
4520 417    175140  30
4690 418    175560  34
2935 419    175980  15
2800 420    176400  15
3035 421    176820  15
3920 422    177240  31
2965 423    177660  15
4550 424    178080  31
4580 425    178500  33
4005 426    178920  31
2905 427    179340  15
4280 428    179760  32
4740 429    180180  33
3450 430    180600  15
4105 431    181020  32
3885 432    181440  23
3935 433    181860  31
4225 434    182280  32
3710 435    182700  29
3890 436    183120  32
3740 437    183540  31
4335 438    183960  31
3975 439    184380  31
3025 440    184800  15
