2580 1       420  29
1670 2       840  26
1710 3      1260  25
3295 4      1680  31
2230 5      2100  28
1685 6      2520  26
1605 7      2940  25
2265 8      3360  28
1370 9      3780  23
2190 10      4200  27
2030 11      4620  23
1780 12      5040  27
1945 13      5460  26
2245 14      5880  25
2360 15      6300  28
1545 16      6720  20
2325 17      7140  30
2730 18      7560  31
2100 19      7980  29
2340 20      8400  28
2255 21      8820  24
2610 22      9240  28
2090 23      9660  27
2385 24     10080  28
2580 25     10500  29
1925 26     10920  27
2270 27     11340  29
2810 28     11760  31
1185 29     12180  23
3055 30     12600  26
4130 31     13020  33
3195 32     13440  29
2885 33     13860  29
3120 34     14280  31
3785 35     14700  31
2150 36     15120  27
1910 37     15540  27
1595 38     15960  24
1795 39     16380  27
1350 40     16800  22
2730 41     17220  27
3145 42     17640  29
2970 43     18060  29
3325 44     18480  32
3090 45     18900  28
3150 46     19320  30
2720 47     19740  28
3300 48     20160  28
3430 49     20580  30
3030 50     21000  28
2690 51     21420  26
3350 52     21840  30
3675 53     22260  31
3390 54     22680  29
2680 55     23100  29
2515 56     23520  27
1555 57     23940  22
2965 58     24360  30
2590 59     24780  29
3115 60     25200  30
2885 61     25620  29
3455 62     26040  30
3330 63     26460  30
3425 64     26880  31
3950 65     27300  32
3425 66     27720  29
3650 67     28140  30
3370 68     28560  30
3600 69     28980  32
4125 70     29400  32
3285 71     29820  31
3775 72     30240  31
3495 73     30660  31
3895 74     31080  32
4035 75     31500  31
3385 76     31920  23
3205 77     32340  31
3615 78     32760  31
3520 79     33180  31
4025 80     33600  32
3255 81     34020  30
3965 82     34440  31
3565 83     34860  30
3360 84     35280  29
3500 85     35700  30
4130 86     36120  32
3095 87     36540  15
3695 88     36960  32
3610 89     37380  30
3660 90     37800  30
3110 91     38220  30
2825 92     38640  15
3800 93     39060  31
3605 94     39480  30
4125 95     39900  32
3280 96     40320  29
3450 97     40740  31
3600 98     41160  31
2220 99     41580  28
3900 100     42000  31
3740 101     42420  31
3515 102     42840  30
3835 103     43260  30
3625 104     43680  30
3265 105     44100  30
3560 106     44520  29
4260 107     44940  32
3250 108     45360  27
3430 109     45780  31
4100 110     46200  31
2615 111     46620  15
3360 112     47040  29
4270 113     47460  32
3340 114     47880  31
3975 115     48300  31
4230 116     48720  33
4060 117     49140  32
3880 118     49560  31
3365 119     49980  31
3900 120     50400  30
3760 121     50820  31
3660 122     51240  31
3955 123     51660  32
3470 124     52080  30
3940 125     52500  32
4465 126     52920  33
3130 127     53340  32
4155 128     53760  32
4355 129     54180  33
4105 130     54600  32
4275 131     55020  32
4050 132     55440  32
4495 133     55860  33
3035 134     56280  15
4105 135     56700  31
4255 136     57120  33
3835 137     57540  31
4395 138     57960  33
2630 139     58380  15
4180 140     58800  32
3270 141     59220  15
3765 142     59640  31
3850 143     60060  31
4045 144     60480  33
3825 145     60900  31
4530 146     61320  33
4355 147     61740  32
4015 148     62160  31
3760 149     62580  30
4075 150     63000  32
3630 151     63420  30
3715 152     63840  29
2950 153     64260  15
3800 154     64680  31
4290 155     65100  33
4170 156     65520  32
4025 157     65940  32
3725 158     66360  30
4475 159     66780  33
3685 160     67200  31
4060 161     67620  32
4295 162     68040  32
4080 163     68460  31
4295 164     68880  33
4005 165     69300  32
4410 166     69720  33
3735 167     70140  31
4010 168     70560  32
4340 169     70980  32
4180 170     71400  32
4185 171     71820  32
4425 172     72240  32
3750 173     72660  31
4120 174     73080  31
3795 175     73500  32
3895 176     73920  31
3960 177     74340  31
3910 178     74760  31
4500 179     75180  33
3750 180     75600  31
3915 181     76020  31
4375 182     76440  32
3830 183     76860  30
3700 184     77280  29
4205 185     77700  32
3775 186     78120  32
3545 187     78540  30
4085 188     78960  32
3965 189     79380  31
3865 190     79800  30
4075 191     80220  31
3955 192     80640  31
3895 193     81060  31
4295 194     81480  31
4520 195     81900  32
4150 196     82320  31
4090 197     82740  32
4555 198     83160  33
4290 199     83580  33
3170 200     84000  15
3775 201     84420  31
4550 202     84840  33
3990 203     85260  31
3930 204     85680  31
3955 205     86100  32
3415 206     86520  28
3765 207     86940  29
4255 208     87360  32
3950 209     87780  32
4230 210     88200  32
4025 211     88620  31
3145 212     89040  15
2890 213     89460  15
2950 214     89880  15
3925 215     90300  31
3935 216     90720  31
3150 217     91140  15
3950 218     91560  32
3680 219     91980  30
4110 220     92400  31
4675 221     92820  33
3775 222     93240  30
4005 223     93660  31
4080 224     94080  31
4100 225     94500  32
4695 226     94920  33
3055 227     95340  15
3400 228     95760  28
3065 229     96180  15
4305 230     96600  32
3360 231     97020  15
3255 232     97440  15
3910 233     97860  32
4385 234     98280  33
4270 235     98700  32
4130 236     99120  31
4290 237     99540  32
3560 238     99960  28
3785 239    100380  29
3130 240    100800  15
4590 241    101220  34
3805 242    101640  29
4335 243    102060  33
3600 244    102480  29
3035 245    102900  15
4650 246    103320  34
4295 247    103740  31
4255 248    104160  32
4540 249    104580  34
3100 250    105000  15
4710 251    105420  33
4260 252    105840  32
3975 253    106260  30
3495 254    106680  26
4535 255    107100  33
4685 256    107520  34
4380 257    107940  34
4100 258    108360  32
4190 259    108780  32
4435 260    109200  32
3605 261    109620  28
4255 262    110040  32
4255 263    110460  33
4205 264    110880  31
3980 265    111300  30
4350 266    111720  32
4110 267    112140  32
4325 268    112560  32
4675 269    112980  34
4180 270    113400  32
3350 271    113820  15
4450 272    114240  32
4640 273    114660  34
4055 274    115080  29
4705 275    115500  34
4340 276    115920  34
4515 277    116340  33
4515 278    116760  33
4330 279    117180  33
4445 280    117600  34
4360 281    118020  33
4780 282    118440  34
4500 283    118860  33
4485 284    119280  32
4605 285    119700  34
4570 286    120120  34
4175 287    120540  32
4465 288    120960  33
4600 289    121380  34
4695 290    121800  33
4630 291    122220  33
4625 292    122640  33
4560 293    123060  34
4280 294    123480  32
4340 295    123900  33
4300 296    124320  32
4390 297    124740  34
4335 298    125160  33
2895 299    125580  15
4775 300    126000  34
4625 301    126420  34
4340 302    126840  33
4595 303    127260  34
4615 304    127680  34
4345 305    128100  33
4685 306    128520  35
4685 307    128940  34
4685 308    129360  34
4420 309    129780  33
4600 310    130200  34
4490 311    130620  34
4650 312    131040  33
4635 313    131460  32
4730 314    131880  34
4575 315    132300  34
4670 316    132720  34
4335 317    133140  33
4490 318    133560  33
4555 319    133980  33
4510 320    134400  34
3340 321    134820  15
4855 322    135240  35
4515 323    135660  33
4140 324    136080  31
3480 325    136500  15
3295 326    136920  15
3220 327    137340  15
4725 328    137760  34
3100 329    138180  15
4510 330    138600  34
4095 331    139020  31
4730 332    139440  33
4570 333    139860  32
4420 334    140280  34
4595 335    140700  34
4745 336    141120  34
4450 337    141540  33
4330 338    141960  31
3185 339    142380  15
4765 340    142800  34
4730 341    143220  34
3255 342    143640  15
3260 343    144060  15
3265 344    144480  15
4345 345    144900  34
4760 346    145320  34
3225 347    145740  15
3390 348    146160  15
3160 349    146580  15
4840 350    147000  34
3420 351    147420  15
3835 352    147840  32
4675 353    148260  34
4645 354    148680  34
3735 355    149100  32
4135 356    149520  33
3210 357    149940  15
2975 358    150360  15
4795 359    150780  34
4735 360    151200  34
4475 361    151620  33
4385 362    152040  31
4625 363    152460  34
4135 364    152880  31
4180 365    153300  33
4130 366    153720  32
4535 367    154140  34
3135 368    154560  15
3200 369    154980  15
4165 370    155400  31
4410 371    155820  32
3535 372    156240  15
4515 373    156660  34
4125 374    157080  29
4445 375    157500  33
4305 376    157920  33
3300 377    158340  15
4350 378    158760  32
3450 379    159180  15
4215 380    159600  33
4670 381    160020  32
4520 382    160440  34
4570 383    160860  29
4280 384    161280  26
4535 385    161700  34
4545 386    162120  33
4350 387    162540  33
3235 388    162960  15
4655 389    163380  33
3490 390    163800  15
4605 391    164220  34
3360 392    164640  15
3240 393    165060  15
4305 394    165480  34
4545 395    165900  33
4615 396    166320  34
4535 397    166740  33
3210 398    167160  15
4445 399    167580  34
4545 400    168000  32
4405 401    168420  34
4550 402    168840  34
4605 403    169260  33
3265 404    169680  15
3030 405    170100  15
3205 406    170520  15
3025 407    170940  15
4505 408    171360  32
4335 409    171780  31
4740 410    172200  34
4400 411    172620  33
3115 412    173040  15
4290 413    173460  27
3215 414    173880  15
2700 415    174300  15
3305 416    174720  15
3310 417    175140  15
3010 418    175560  15
4585 419    175980  33
3340 420    176400  15
3210 421    176820  15
4385 422    177240  32
4355 423    177660  33
3425 424    178080  15
4620 425    178500  34
4370 426    178920  32
4250 427    179340  33
4465 428    179760  34
3325 429    180180  15
3245 430    180600  15
4320 431    181020  33
4225 432    181440  32
3465 433    181860  21
4370 434    182280  32
4055 435    182700  31
3265 436    183120  29
3075 437    183540  15
3305 438    183960  15
3690 439    184380  28
3365 440    184800  15
3120 441    185220  15
3250 442    185640  15
4215 443    186060  31
3265 444    186480  15
3675 445    186900  28
3375 446    187320  28
4295 447    187740  33
4035 448    188160  32
2595 449    188580  15
3335 450    189000  15
4460 451    189420  33
3080 452    189840  15
4600 453    190260  34
3240 454    190680  15
4165 455    191100  30
4625 456    191520  34
4670 457    191940  34
4565 458    192360  33
2855 459    192780  15
3345 460    193200  15
3320 461    193620  15
4225 462    194040  31
3130 463    194460  15
4440 464    194880  33
4215 465    195300  33
4660 466    195720  34
3855 467    196140  29
4360 468    196560  30
4130 469    196980  32
4475 470    197400  33
2450 471    197820  15
3340 472    198240  15
4345 473    198660  32
3920 474    199080  26
4755 475    199500  34
2575 476    199920  26
3325 477    200340  15
3025 478    200760  15
4710 479    201180  34
3365 480    201600  15
4095 481    202020  30
4320 482    202440  31
4140 483    202860  32
4695 484    203280  31
3340 485    203700  27
3385 486    204120  15
4225 487    204540  32
3360 488    204960  15
4120 489    205380  32
3070 490    205800  15
3450 491    206220  15
4050 492    206640  29
4175 493    207060  33
4275 494    207480  32
4130 495    207900  28
3000 496    208320  15
4615 497    208740  32
3250 498    209160  15
4495 499    209580  33
4480 500    210000  33
3560 501    210420  15
4420 502    210840  34
3305 503    211260  15
3035 504    211680  15
4380 505    212100  33
4310 506    212520  32
4345 507    212940  33
4540 508    213360  33
4085 509    213780  33
3450 510    214200  15
3990 511    214620  30
2735 512    215040  19
4760 513    215460  35
4500 514    215880  33
4100 515    216300  30
4125 516    216720  33
3445 517    217140  15
4490 518    217560  34
2950 519    217980  15
5000 520    218400  35
3775 521    218820  32
4365 522    219240  33
3385 523    219660  15
3140 524    220080  15
3335 525    220500  15
3490 526    220920  27
4765 527    221340  34
3250 528    221760  15
3675 529    222180  29
3870 530    222600  31
3340 531    223020  29
3485 532    223440  28
4350 533    223860  32
3235 534    224280  15
3335 535    224700  27
4820 536    225120  34
4385 537    225540  33
3450 538    225960  26
3340 539    226380  15
4280 540    226800  31
3435 541    227220  15
3195 542    227640  15
4315 543    228060  31
4335 544    228480  33
4565 545    228900  34
3235 546    229320  15
3260 547    229740  15
4275 548    230160  30
3105 549    230580  15
4285 550    231000  31
4160 551    231420  30
3380 552    231840  26
3110 553    232260  27
4555 554    232680  33
4650 555    233100  33
3780 556    233520  29
4675 557    233940  33
4405 558    234360  34
4210 559    234780  33
3450 560    235200  15
4415 561    235620  33
3450 562    236040  25
3025 563    236460  15
3625 564    236880  30
4110 565    237300  24
4390 566    237720  30
4435 567    238140  32
4515 568    238560  34
4465 569    238980  32
4500 570    239400  34
4370 571    239820  31
4195 572    240240  32
3980 573    240660  30
4320 574    241080  32
4660 575    241500  34
4025 576    241920  30
3515 577    242340  15
3870 578    242760  29
4020 579    243180  32
4150 580    243600  30
3995 581    244020  30
4435 582    244440  33
4665 583    244860  34
4295 584    245280  34
3910 585    245700  29
2850 586    246120  22
4765 587    246540  34
3970 588    246960  30
4320 589    247380  33
4280 590    247800  32
4320 591    248220  31
4080 592    248640  30
3515 593    249060  28
3355 594    249480  27
3940 595    249900  32
4555 596    250320  34
4300 597    250740  31
3955 598    251160  33
3785 599    251580  28
3415 600    252000  26
3970 601    252420  28
3380 602    252840  15
4140 603    253260  31
4335 604    253680  32
3875 605    254100  32
3580 606    254520  30
4345 607    254940  30
4150 608    255360  30
4045 609    255780  32
3975 610    256200  30
4265 611    256620  33
4550 612    257040  33
4080 613    257460  30
4385 614    257880  30
4145 615    258300  31
4100 616    258720  33
3405 617    259140  22
3355 618    259560  28
4555 619    259980  34
4645 620    260400  34
4075 621    260820  30
3405 622    261240  23
4290 623    261660  32
2780 624    262080  24
3815 625    262500  29
3910 626    262920  24
4305 627    263340  31
4405 628    263760  34
3935 629    264180  32
4170 630    264600  31
3715 631    265020  30
3510 632    265440  28
4335 633    265860  33
4390 634    266280  33
3815 635    266700  29
4290 636    267120  33
4120 637    267540  31
4260 638    267960  33
4240 639    268380  26
3700 640    268800  27
4015 641    269220  29
4340 642    269640  31
4100 643    270060  30
4410 644    270480  31
4100 645    270900  30
4515 646    271320  34
4085 647    271740  31
4185 648    272160  32
4030 649    272580  31
3895 650    273000  29
3710 651    273420  27
4180 652    273840  31
3755 653    274260  27
3540 654    274680  26
4665 655    275100  32
4520 656    275520  32
4635 657    275940  33
3825 658    276360  22
4085 659    276780  31
4310 660    277200  31
3720 661    277620  29
4370 662    278040  30
4665 663    278460  34
4520 664    278880  32
3615 665    279300  28
4420 666    279720  35
4445 667    280140  32
4170 668    280560  30
4365 669    280980  32
4025 670    281400  28
4500 671    281820  33
4245 672    282240  32
4410 673    282660  31
4575 674    283080  33
4165 675    283500  28
4345 676    283920  33
4090 677    284340  29
4020 678    284760  31
4370 679    285180  34
3955 680    285600  31
4305 681    286020  26
3660 682    286440  22
3690 683    286860  19
4515 684    287280  33
3985 685    287700  31
4575 686    288120  33
4145 687    288540  32
3880 688    288960  29
4305 689    289380  33
4655 690    289800  33
4510 691    290220  32
3635 692    290640  28
4785 693    291060  34
4530 694    291480  30
4055 695    291900  32
4510 696    292320  30
4225 697    292740  28
3800 698    293160  30
4100 699    293580  31
4355 700    294000  30
4110 701    294420  32
4375 702    294840  30
4635 703    295260  33
3650 704    295680  24
4040 705    296100  30
4365 706    296520  28
4655 707    296940  33
4460 708    297360  31
4100 709    297780  31
4085 710    298200  32
4050 711    298620  29
4130 712    299040  24
4530 713    299460  31
4305 714    299880  31
4425 715    300300  31
3755 716    300720  29
4115 717    301140  32
4175 718    301560  26
4715 719    301980  34
4160 720    302400  29
4160 721    302820  32
4490 722    303240  32
3535 723    303660  23
4170 724    304080  32
4625 725    304500  31
3395 726    304920  23
4405 727    305340  33
4060 728    305760  28
4345 729    306180  29
4290 730    306600  32
4205 731    307020  30
4575 732    307440  32
3820 733    307860  25
3930 734    308280  30
4440 735    308700  32
3800 736    309120  26
4070 737    309540  29
4670 738    309960  34
4235 739    310380  27
4065 740    310800  28
4670 741    311220  33
4345 742    311640  32
4245 743    312060  33
4305 744    312480  31
4350 745    312900  30
4575 746    313320  31
3565 747    313740  22
4540 748    314160  33
4190 749    314580  32
4455 750    315000  31
4450 751    315420  31
4385 752    315840  31
3670 753    316260  27
4315 754    316680  31
3950 755    317100  28
4555 756    317520  32
4020 757    317940  30
5015 758    318360  34
4390 759    318780  33
4330 760    319200  27
4755 761    319620  34
4540 762    320040  32
4205 763    320460  28
4795 764    320880  34
4025 765    321300  30
3805 766    321720  27
4425 767    322140  29
3545 768    322560  26
4180 769    322980  30
4410 770    323400  31
4135 771    323820  33
4270 772    324240  31
4375 773    324660  32
4335 774    325080  31
4550 775    325500  31
4025 776    325920  30
4355 777    326340  34
4385 778    326760  32
4040 779    327180  30
3935 780    327600  32
4360 781    328020  33
4270 782    328440  33
4310 783    328860  32
4195 784    329280  32
4305 785    329700  33
3945 786    330120  32
4095 787    330540  30
4175 788    330960  30
4500 789    331380  33
3440 790    331800  26
3675 791    332220  26
4280 792    332640  31
3455 793    333060  26
4060 794    333480  28
4620 795    333900  33
4690 796    334320  31
4715 797    334740  30
4170 798    335160  30
3900 799    335580  27
3995 800    336000  31
4115 801    336420  28
4780 802    336840  34
4425 803    337260  33
4325 804    337680  30
4295 805    338100  30
4560 806    338520  30
4685 807    338940  34
3800 808    339360  30
3915 809    339780  21
4050 810    340200  30
4275 811    340620  33
4270 812    341040  32
4215 813    341460  31
3890 814    341880  25
3950 815    342300  28
4445 816    342720  33
4025 817    343140  27
4030 818    343560  30
4005 819    343980  28
4075 820    344400  30
4105 821    344820  32
3675 822    345240  23
4140 823    345660  31
3945 824    346080  32
4450 825    346500  33
4080 826    346920  29
3735 827    347340  29
3590 828    347760  26
4850 829    348180  35
4080 830    348600  30
4160 831    349020  32
4520 832    349440  33
3925 833    349860  31
4375 834    350280  31
4050 835    350700  33
4385 836    351120  33
4475 837    351540  31
4080 838    351960  30
4125 839    352380  30
3860 840    352800  25
4205 841    353220  30
3715 842    353640  25
4420 843    354060  27
3930 844    354480  23
4110 845    354900  28
4500 846    355320  34
2900 847    355740  21
4320 848    356160  30
4090 849    356580  32
4185 850    357000  32
3870 851    357420  32
3700 852    357840  28
3415 853    358260  29
2560 854    358680  24
4935 855    359100  34
3265 856    359520  27
3075 857    359940  15
2935 858    360360  28
2665 859    360780  15
4315 860    361200  32
3000 861    361620  25
3840 862    362040  30
3065 863    362460  23
2960 864    362880  27
4005 865    363300  31
3945 866    363720  31
2295 867    364140  23
3045 868    364560  21
3170 869    364980  23
3250 870    365400  25
2535 871    365820  22
4430 872    366240  33
3265 873    366660  23
3695 874    367080  30
3465 875    367500  28
2380 876    367920  25
3570 877    368340  31
4225 878    368760  33
3675 879    369180  28
3590 880    369600  25
4035 881    370020  33
3635 882    370440  31
4420 883    370860  32
3880 884    371280  29
3690 885    371700  30
4320 886    372120  34
3780 887    372540  29
3890 888    372960  27
3160 889    373380  24
4300 890    373800  32
3540 891    374220  27
3620 892    374640  27
2865 893    375060  25
3905 894    375480  28
4395 895    375900  33
2960 896    376320  24
3480 897    376740  26
3610 898    377160  30
4055 899    377580  30
3270 900    378000  27
4245 901    378420  32
4125 902    378840  30
2415 903    379260  19
4480 904    379680  32
4200 905    380100  34
3875 906    380520  32
4170 907    380940  32
3420 908    381360  30
3765 909    381780  28
3385 910    382200  27
4085 911    382620  31
2125 912    383040  17
3765 913    383460  31
4105 914    383880  32
3940 915    384300  28
4605 916    384720  34
3730 917    385140  30
3610 918    385560  25
4345 919    385980  32
3870 920    386400  30
4215 921    386820  34
4435 922    387240  31
4515 923    387660  32
3800 924    388080  30
3105 925    388500  27
4290 926    388920  32
4200 927    389340  31
4475 928    389760  31
4470 929    390180  32
4045 930    390600  32
4450 931    391020  34
4285 932    391440  33
4170 933    391860  30
4580 934    392280  33
3725 935    392700  27
4815 936    393120  33
4705 937    393540  33
4565 938    393960  33
4100 939    394380  32
4225 940    394800  32
3640 941    395220  28
4365 942    395640  33
4290 943    396060  33
4520 944    396480  34
4100 945    396900  32
4380 946    397320  31
4175 947    397740  33
3140 948    398160  25
3880 949    398580  29
4345 950    399000  32
4025 951    399420  32
4390 952    399840  33
4055 953    400260  30
4175 954    400680  32
4335 955    401100  33
4225 956    401520  32
3960 957    401940  31
4870 958    402360  34
4905 959    402780  34
4010 960    403200  30
3660 961    403620  27
3905 962    404040  30
4640 963    404460  33
3605 964    404880  30
3745 965    405300  29
4530 966    405720  33
4105 967    406140  32
4585 968    406560  29
4205 969    406980  33
3980 970    407400  29
4270 971    407820  31
4580 972    408240  34
4230 973    408660  31
3345 974    409080  25
3660 975    409500  28
