151931 123    151931    0    0   700    100      0   2800    904
153163 124    153163    0    0   700    850      0    100    619
154442 125    154442   15    0  1350    300      0      0    148
154954 126    154954   15    0   850   1050    825     34     11
156339 127    156339    0    0   750      0      0   3553   1019
157518 128    157518    1    0  1100    100      0   4323    463
159283 129    159283    0    0  1050    250      0   2522    785
159893 130    159893    5    0   650    700    725      0    307
160605 131    160605    5    0   700    800    725     32    347
161893 132    161893    0    0   700    200      0   1064    648
163647 133    163647    0    0   650    400      0    246    921
164810 134    164810    0    0  1150    100      0   1727    432
166047 135    166047    0    0  1000     50      0   3315    521
167288 136    167288    0    0   900    200      0   2282    558
169056 137    169056    0    0   900   1450      0   1385    836
169679 138    169679   13    0   750   1050    900    635    277
171114 139    171114    0    0   700    700      0    221    725
171582 140    171582   14    0   850    900    725     92    164
172753 141    172753    0    0   700    500      0     85    587
173986 142    173986    0    0   800    350      0   1146    584
175275 143    175275    0    0  1050    350      0   2107    529
175971 144    175971   15    0   800   1200   1125    140    302
177100 145    177100    0    0   650    400      0      1    582
177662 146    177662   13    0   750    900   1050      8    250
178987 147    178987    0    0   750    100      0   2854    650
180774 148    180774    1    0  1300    250      0   4698    700
182211 149    182211    0    0   700    250      0   2207    729
183345 150    183345   15    0  1350    400      0     47    138
185115 151    185115    0    0  1050    925      0   2424    785
186358 152    186358    0    0   750    700      0    122    606
187553 153    187553    0    0   750    100      0   1243    586
188812 154    188812    0    0   650    350      0     14    647
190585 155    190585    0    0   750    200      0   1947    887
191761 156    191761    0    0   650    300      0    300    602
193170 157    193170    0    0   900    300      0   1262    821
194303 158    194303    0    0   900    450      0    134    502
195537 159    195537    0    0   750    200      0   1360    601
196669 160    196669    0    0   650    200      0    899    581
198458 161    198458    0    0   800    400      0    752    870
199636 162    199636    0    0   700    400      0    755    590
200680 163    200680    0    0   600    300      0     82    554
201832 164    201832    0    0   950    200      0    309    486
203161 165    203161    0    0   700    250      0    985    660
204331 166    204331    0    0   700    550      0    134    582
205552 167    205552    0    0  1350    300      0   1922    390
206755 168    206755    0    0   850      0      0   3219    546
208041 169    208041    0    0   600      0      0   2224    678
209228 170    209228    0    0   900    150      0   2445    526
209976 171    209976   10    0   700    800    500   1715    358
211153 172    211153    0    0   650      0      0   2330    603
212329 173    212329    4    0  1100    200      0   2660    454
213594 174    213594    0    0   800    175      0   3099    597
215374 175    215374    0    0   650    750      0     36    921
216546 176    216546    0    0  1000    650      0    107    479
217799 177    217799    0    0   700    400      0    138    624
219593 178    219593    0    0  1500    500      0   1139   2617
220852 179    220852    0    0   950    100      0   3244    542
221994 180    221994    0    0   700    150      0   1152    569
223130 181    223130    0    0   700    550      0     70    558
224424 182    224424    0    0  1100    250      0    714    506
225725 183    225725    0    0   900      0      0   3729    577
226999 184    226999    0    0   900    250      0   1251    540
228254 185    228254    0    0   650    350      0    222    643
229514 186    229514    2    0   950      0      0   3008    538
230575 187    230575    0    0   700    300      0     21    523
231852 188    231852    0    0   850      0      0   4838    588
233328 189    233328    0    0   800    950      0    515    708
233946 190    233946   23    0  1150   1050    825   1090     81
235336 191    235336    0    0   950      0      0   2704    812
236524 192    236524    0    0   700    300      0   1444    585
238315 193    238315    0    0   800    450      0    231    870
239571 194    239571    1    0  1000    250      0    348    516
240833 195    240833   15    0   750      0      0      9      3
242370 196    242370    0    0  1300      0      0   2556   1194
243578 197    243578    0    0   850    300      0    665    548
245363 198    245363    0    0  1700    750      0   2238    564
245964 199    245964   18    0  1050    900   1125    278    128
246678 200    246678    4    0   650    800    500    254    355
248044 201    248044    0    0   950    600      0   1101   1191
249835 202    249835    0    0   750    150      0   3589    887
251131 203    251131    0    0   800    275      0   1962    608
252291 204    252291    0    0   650    600      0    229    583
252782 205    252782   10    0   650    850    575    435    239
253437 206    253437    5    0   650    700    725      0    325
253801 207    253801   12    0   650    850    500    243    172
254320 208    254320   12    0   850    750    725    239    176
255605 209    255605    0    0   750    150      0    385    622
256848 210    256848    0    0   600    500      0      0    648
257984 211    257984    0    0   750    350      0    776    543
259142 212    259142    0    0  1050    250      0   1649    451
260455 213    260455    0    0  1100    400      0    746    512
261909 214    261909    0    0   850    200      0   2930    680
263094 215    263094    0    0   650    650      0    116    604
264319 216    264319    0    0  1000     50      0   1881    396
266113 217    266113    3    0  1400    425      0   5114   2007
267281 218    267281    0    0   700    400      0    109    573
269054 219    269054    0    0  1250    750      0   1209    717
270231 220    270231    0    0   650    200      0   1218    604
271483 221    271483    4    0   800    225      0   4010    589
272710 222    272710    0    0  1300     50      0   2748    313
273209 223    273209   15    0   900    750    725    276    159
274396 224    274396    0    0   800    100      0   1054    554
275601 225    275601    0    0   650    300      0    646    609
277379 226    277379   17    0  1300   1850   1525   8147   2411
278532 227    278532    2    0  1300    450      0    521    250
279790 228    279790    0    0   650    500      0     28    637
280930 229    280930    0    0   650    400      0     21    577
282733 230    282733    0    0  1250    350      0   3408   1176
284016 231    284016    0    0   650    300      0    815    653
285061 232    285061   13    0  1000   1200    900   2112    408
286300 233    286300    0    0  1000    150      0   3063    518
287563 234    287563    0    0   650    450      0     42    641
289362 235    289362    0    0  1550    525      0   1990    866
290679 236    290679    0    0   950    100      0   3021    570
291874 237    291874    0    0   650    250      0    557    606
293142 238    293142    0    0  1050    550      0   1513    505
293793 239    293793   11    0   800   1150   1050    162    272
295053 240    295053    0    0   700    150      0   1552    628
296423 241    296423    0    0   950     50      0   3797    917
297575 242    297575    0    0   750    200      0   3240    551
298808 243    298808    1    0   850    100      0   2522    544
299327 244    299327   15    0   750   1000    900    246    221
300651 245    300651    0    0   600    550      0      0    689
301895 246    301895    0    0   900    500      0    840    513
303228 247    303228    0    0   950    350      0   1119    572
304615 248    304615    0    0   900    475      0   1749   1151
305922 249    305922    1    0   800      0      0   5207    619
307406 250    307406    0    0  1400      0      0   5119    569
308681 251    308681    0    0   850      0      0   4564    579
310479 252    310479    0    0  1100    200      0   3075    768
311854 253    311854    0    0   900    300      0   3207   1063
312500 254    312500   18    0  1000    950    900   1244    203
314294 255    314294    2    0  1650    850      0   3615   2329
315604 256    315604    3    0   700      0      0   4433    653
316834 257    316834    0    0  1150    300      0   1865    454
318619 258    318619    0    0  1700    100      0   2575    565
319802 259    319802    0    0   800     50      0   1641    544
321611 260    321611    0    0  1000    625      0   2715   1556
323403 261    323403    0    0  1050    400      0   3638   1165
325202 262    325202    0    0  2200    650      0   1830   1845
326995 263    326995    1    0  1900    850      0   2928   2230
328255 264    328255    0    0   700    450      0     93    623
330062 265    330062    0    0   900    200      0   2629   2232
330603 266    330603   15    0   800   1050    825     50    310
332394 267    332394    1    0  2000    950      0   1164   1738
333009 268    333009   15    0   900    950   1050    443    103
334375 269    334375    0    0  1150    750      0    242   1038
336180 270    336180    0    0  1400    600      0   3231   2838
337977 271    337977    0    0  1300    725      0   1266   1825
339769 272    339769    0    0   900    850    400   1101   1552
341063 273    341063    0    0   750    400      0   1174    621
341974 274    341974    4    0   650    800    725    220    459
342820 275    342820    5    0   800    800    725     78    370
344636 276    344636    0    0  1100    850      0   1876   2850
346434 277    346434    0    0  1150    400      0   4853   1183
348226 278    348226    0    0   850    200      0   2049   3798
350017 279    350017    6    0  2100    800      0   2720    432
351832 280    351832    0    0  1200    600    400   1201    652
353197 281    353197    0    0   950    450      0    939    561
354402 282    354402    0    0   850    200      0    755    539
356070 283    356070    0    0   800    100      0   2647   1223
357507 284    357507    0    0  1150    375      0   1452    435
358646 285    358646   12    0   600      0      0      5    589
359798 286    359798    0    0   700    450      0    176    570
360936 287    360936    0    0   750    100      0    311    543
362741 288    362741    0    0   850    150      0   3898   1275
364548 289    364548    0    0  1100    350      0   1664    699
366052 290    366052    0    0   750    150      0   3864    737
367289 291    367289    0    0   850      0      0   5430    560
