121260 105    121260    0    0   800    500      0    555    535   1   0
122360 106    122360   15    0   750      0      0     10      3   1   0
123481 107    123481   12    0   600      0      0      3    609   1   0
124124 108    124124    6    0   700    800    975     39    323   0   0
125765 109    125765    0    0  1250    150      0   4794   1226  13  14
127480 110    127480    0    0   650    400      0      0    921   0   0
128758 111    128758    0    0   650    800      0      0    680   0   0
129934 112    129934    0    0   850    650      0    691    572   3   0
131654 113    131654    0    0  1450   3200    875   1926   2785  10   8
132804 114    132804    0    0   650    300      0     60    641   1   0
134486 115    134486    0    1  1750    400      0   3540    980   4   1
136082 116    136082    0    0  1350    350      0   2100   1129   7   3
137327 117    137327   15    0   750      0      0      1      3   7   3
138501 118    138501    0    0  1100    100      0   1888    441   1   0
139799 119    139799    0    0  1150    575      0   1860    534   2   0
140957 120    140957    0    0  1150    700      0    950    454   2   0
142609 121    142609    0    0   950    450      0   1522    819   0   0
144320 122    144320    0    0  1150    100      0   2423   1043   7   1
145464 123    145464   12    0   600      0      0      2    620   7   1
146731 124    146731    0    0   800      0      0   2521    610  19   1
148385 125    148385    4    0  1500    375      0   1995    943   9   8
149575 126    149575    0    0   950     50      0   1426    547   0   0
150752 127    150752    0    0   900    450      0    153    555   0   0
152151 128    152151    3    0   900   1200   1050    875    660   0   0
153264 129    153264    0    0   900    350      0    247    540   0   0
154412 130    154412    0    0   850    250      0    285    558   0   0
155649 131    155649    0    0   850      0      0   1663    553   4   0
156194 132    156194   15    0   750   1000    825    180    245   8   0
157387 133    157387    0    0   700    100      0   1352    596   3   0
158630 134    158630    2    0  1550    100      0   2456    302   9   0
159798 135    159798    0    0  1050    100      0   1104    460   4   0
161043 136    161043   21    2  1700    750    500      0    461  31  11
162119 137    162119    0    0   650    500      0     10    592   0   0
163819 138    163819    0    0  1250    425      0   2480   1256   7   4
164939 139    164939    0    0   850    550      0    361    521   0   0
165473 140    165473   14    0   850   1100    900    399    220   1   0
167185 141    167185    0    0  1450    950    800   4379   2273   5   3
168840 142    168840    2    0  1850    525      0   2225    505  12   4
169958 143    169958    0    0   800      0      0   3326    571   4   0
171190 144    171190    0    0   750    450      0   1159    615   0   0
172837 145    172837    8    0  2100   2400      0   6425    389  12   0
174495 146    174495    0    0  1550    100      0   8843    615  11   1
176172 147    176172    7    0  2250    500      0   2364    459   4   6
176695 148    176695   19    0   950   1000    825    507    143   1   0
178383 149    178383    0    0  1550    450      0   2923    487  12   7
180120 150    180120   12    0   600      0      0      0    938  12   7
180754 151    180754   16    0   850   1250    900     86    255   6   4
182434 152    182434    0    1  2150    700      0   3903    438  21   5
183566 153    183566    0    0  1000    850      0   1331    515   3   0
184742 154    184742   12    0   600      0      0      5    628   3   0
185999 155    185999    0    0   950    525      0   1464    591  10   0
187695 156    187695    0    0  1850   2575     75   2015   1316  19  32
188798 157    188798    0    0  1050    450      0    637    361  20  32
190404 158    190404    0    0   950    900      0    320    819   2   0
191626 159    191626   15    0   750      0      0      4    605   2   0
192719 160    192719    0    0  1000    400      0    441    483   1   0
194408 161    194408   18    2  2600    550      0   2628    267  15   7
195571 162    195571    0    0   800    100      0   1397    582   0   0
196652 163    196652    2    0   850    200      0   1446    505  16   0
197766 164    197766   12    0   600      0      0      4    621  16   0
199075 165    199075    0    0  1150    625      0    832    533   3   0
200239 166    200239   12    0   600      0      0      1    620   3   0
201449 167    201449    0    0   850    700      0     63    579   0   0
201993 168    201993   15    0   800   1000    825    259    230   1   0
203726 169    203726    0    0  1700    600      0    667   1695  13  20
205439 170    205439   10    0  1900   1175      0   6106   1638  14   8
207102 171    207102    0    0   900    375      0   3238    836   2   0
208833 172    208833   14    4  3600   1850      0    697    378  37   5
209945 173    209945   15    0   750      0      0      0    546  37   5
210827 174    210827   10    0   700   1000    900   1158    449   0   0
212027 175    212027    0    0   800    250      0    637    602   0   0
213681 176    213681    7    0  2150   2325     75   3472    187   9   2
215025 177    215025    0    0  1150     50      0   1789    546   5   2
216386 178    216386    0    0   800      0      0   2791   1482   6   3
218054 179    218054    0    0  1000    375      0   3488    802   6   3
219231 180    219231    0    0  1000    450      0    877    477   4   6
220892 181    220892    0    0   750    300      0   3705   1479  15   5
222531 182    222531    0    0  1600    575      0   6413    536  23   5
223928 183    223928    0    0   900    900      0    128    656   1   0
225649 184    225649    0    0   800   1000      0    625    870   0   0
226864 185    226864   25    1  1550    950    725   2172    393  52  16
228584 186    228584    0    0  1600    575      0   2707   1582  21   8
229788 187    229788    0    0   650    200      0   2905    670   1   0
231020 188    231020    0    0   800      0      0   4640    580   8   0
231545 189    231545   19    0  1000   1000    900     94    155  16   2
232701 190    232701    0    0  1100    450      0    286    469   0   0
233867 191    233867    2    0   950    300      0    609    516   0   0
234445 192    234445   12    0   850    950    825    408    306   2   1
236124 193    236124   12    2  2450   1025      0   1838   1229  63  14
237329 194    237329   12    0   600      0      0      6    649  63  14
238442 195    238442    0    0   650    150      0   1831    600   0   0
239733 196    239733    0    0  1200    300      0    554    833   7   4
