1186 1      1186    0    0  1100    325      0
2299 2      2299    0    0   700     50      0
3618 3      3618    0    0  1100    150      0
4554 4      4554    3    0   650    700    725
5050 5      5050   15    0   850    800   1050
6193 6      6193    0    0   650    700      0
7514 7      7514    0    0  1000    900      0
8619 8      8619    6    0   950    150      0
9307 9      9307   12    0   800    850   1050
10544 10     10544    0    0   800      0      0
11925 11     11925    0    0   850    275      0
13677 12     13677    0    0  1350    650      0
14849 13     14849    0    0   650    350      0
16593 14     16593    0    0   750    250      0
16980 15     16980   15    0   750    900    725
18165 16     18165    0    0   700    350      0
19412 17     19412    0    0  1150      0      0
20616 18     20616    0    0   750      0      0
21788 19     21788    0    0   900    450      0
23192 20     23192    0    0  1000    450      0
23627 21     23627   12    0   700    750    725
24768 22     24768    0    0   800      0      0
25973 23     25973    0    0   750     50      0
27115 24     27115    0    0   850    500      0
28360 25     28360    0    0  1300    425      0
29547 26     29547    0    0   600      0      0
30726 27     30726    0    0  1350      0      0
32464 28     32464    0    0  1000    500      0
33772 29     33772    0    0   850    750      0
34920 30     34920    0    0  1050    350      0
36667 31     36667    0    0   700    200      0
37851 32     37851    0    0   800    325      0
38969 33     38969    3    0   650    150      0
40117 34     40117    0    0   950    350      0
41258 35     41258   15    0   750      0      0
42413 36     42413    0    0   850    100      0
44164 37     44164    0    0  1000    325      0
45511 38     45511    0    0   900    375      0
46712 39     46712    0    0   900    350      0
47974 40     47974    0    0   600    400      0
49155 41     49155    0    0   650    150      0
50317 42     50317    0    0   700      0      0
50882 43     50882   15    0   800    950    825
52643 44     52643    0    0   900    450      0
53699 45     53699    0    0   650    350      0
54951 46     54951    0    0  1500    200      0
56434 47     56434    0    0  1000    225      0
57603 48     57603    0    0   650    250      0
58720 49     58720    0    0   650    350      0
59970 50     59970    0    0   700    200      0
61223 51     61223    0    0   950    625      0
62480 52     62480    0    0   700    250      0
62817 53     62817   10    0   650    700    725
64034 54     64034    0    0   850     50      0
65589 55     65589    0    0  1200    400      0
67351 56     67351    0    0  1200    400      0
68526 57     68526   12    0   600      0      0
69172 58     69172    7    0   650    900    725
70324 59     70324    0    0   650    550      0
71288 60     71288    5    0   700    750   1050
72400 61     72400    0    0   650    200      0
74157 62     74157    0    0  1000    450      0
75394 63     75394    0    0   800    475      0
76679 64     76679    0    0  1050    475      0
77824 65     77824    0    0   800      0      0
79087 66     79087    0    0   850    625      0
80521 67     80521    0    0   850    425      0
