1530 1      1530    0    0  1500     50      0
2080 2      2080   20    0  1150   1150    900
3237 3      3237    0    0   650     50      0
4443 4      4443    0    0   650    300      0
4873 5      4873   15    0   800    950    725
6199 6      6199    0    0   850    500      0
7931 7      7931    0    0  1050    350      0
9073 8      9073    0    0   700    100      0
9528 9      9528   15    0   850    850    725
10646 10     10646    1    0   650      0      0
11388 11     11388    4    0   750    800    500
13095 12     13095    0    0  1250    900      0
14236 13     14236    0    0   850    100      0
15404 14     15404    0    0   650    350      0
16650 15     16650    0    0   950    675      0
17268 16     17268   14    0   800   1075   1125
18389 17     18389    0    0   800      0      0
20128 18     20128    0    0   800     50      0
21822 19     21822    0    0  1100     50      0
22284 20     22284   16    0   800   1000    825
22853 21     22853   10    0   700    850   1050
24004 22     24004    0    0   800    100      0
25721 23     25721    0    0  1200    650      0
26282 24     26282   13    0   650   1000   1000
27879 25     27879    0    0  1150    650      0
29583 26     29583    0    0  1100    300      0
31320 27     31320    0    0  1300    375      0
32405 28     32405    0    0   750      0      0
33488 29     33488    0    0   800    200      0
34648 30     34648    3    0   750    100      0
35789 31     35789    0    0   700    250      0
37464 32     37464    0    0   750    250      0
38700 33     38700    0    0   600    150      0
39384 34     39384   15    0   950   1150   1125
40596 35     40596    0    0   900    225      0
41767 36     41767    2    0   750    100      0
42858 37     42858    0    0  1000    200      0
43981 38     43981    0    0  1100    100      0
45228 39     45228    0    0   700      0      0
46986 40     46986   39    0  2750   2925   1075
48157 41     48157    0    0   650    550      0
49307 42     49307   15    0  1450    350      0
50461 43     50461    0    0   650    200      0
51732 44     51732    0    0   850    600      0
52992 45     52992    0    0   850      0      0
54162 46     54162    0    0  1000     50      0
55946 47     55946    0    0   850    400      0
56870 48     56870    3    0   650    750    650
58106 49     58106    0    0   850    200      0
59742 50     59742    0    0   650    250      0
60198 51     60198   16    0   800   1100    650
61858 52     61858    0    0   650     50      0
63588 53     63588    0    0   850      0      0
64726 54     64726    0    0   700    100      0
65979 55     65979    0    0   600    100      0
67161 56     67161    0    0   600    150      0
68890 57     68890    1    0  1750    300      0
70044 58     70044    0    0  1300    400      0
71295 59     71295    0    0   650      0      0
72369 60     72369    0    0   700      0      0
74074 61     74074    0    0  1100    550      0
74935 62     74935    7    0  1000    850    725
76599 63     76599    0    0  1150    350      0
77786 64     77786    0    0   650    300      0
79535 65     79535    0    0   850    400      0
80687 66     80687    0    0   650    300      0
82393 67     82393    0    0  2250    950      0
83984 68     83984    0    0  1250   1375      0
85316 69     85316    0    0  1500    925      0
87076 70     87076    0    0  1350    600      0
88783 71     88783    0    0  1200    625      0
90016 72     90016    7    0  1700    300      0
91540 73     91540    0    0  1300    625      0
92717 74     92717   12    0   600      0      0
93208 75     93208   11    0   850    700    725
95005 76     95005    0    0   850    450    400
96545 77     96545    0    0  1300    200      0
97692 78     97692    0    0  1150    400      0
99035 79     99035    0    0   700    850      0
100307 80    100307    0    0   750    400      0
101432 81    101432    0    0   700    250      0
103183 82    103183    0    0  1950   1100    150
104918 83    104918    5    0  1850    500      0
106596 84    106596    0    0   950    500      0
107291 85    107291   15    0   850    950   1125
108575 86    108575    0    0   700    300      0
110363 87    110363    0    0  1400    500      0
110839 88    110839   15    0   850    950    825
112340 89    112340    1    0  1850    400      0
113567 90    113567    6    0  1350    200      0
114811 91    114811   12    0   600      0      0
116017 92    116017   12    0   600      0      0
117724 93    117724    7    0  2550   1075      0
119467 94    119467    2    0  1700    700    800
121223 95    121223    1    0  1200    200      0
122970 96    122970   18    0  2450    825      0
124711 97    124711    3    0  1400    150      0
125129 98    125129   15    0   750   1000    725
126379 99    126379    0    0   850    450      0
127581 100    127581    0    0   750    500      0
128766 101    128766   15    0   750      0      0
129820 102    129820   14    0  1100     50      0
130369 103    130369   17    0   950    950   1050
130953 104    130953   15    0   750   1050    900
132219 105    132219    0    0  1200    150      0
133504 106    133504    1    0   900    300      0
134656 107    134656   12    0   600      0      0
135938 108    135938   12    0   600      0      0
137712 109    137712    4    0  1750    300      0
138823 110    138823    0    0  1100    150      0
140570 111    140570    6    0  1650    550      0
142233 112    142233    3    0  2400    700      0
143966 113    143966    0    0  1200    500    400
145191 114    145191    0    0  1000    150      0
146464 115    146464   12    0   600      0      0
147757 116    147757    0    0   600      0      0
148917 117    148917   12    0   600      0      0
150707 118    150707    0    0   850    400      0
152496 119    152496    0    0   750    250      0
154270 120    154270    2    0   900     50      0
155619 121    155619   11    0  1800    400      0
157227 122    157227   19    0  2150    200      0
158523 123    158523   12    0   600      0      0
159979 124    159979    1    0  1350    275      0
161670 125    161670    4    0  1650    675      0
162843 126    162843    5    0  1050      0      0
164466 127    164466   20    0  2800    450      0
165093 128    165093   15    0   750   1100    900
166810 129    166810    6    0  1850    625      0
168066 130    168066    2    0  1450    425      0
169408 131    169408    0    0  1400    550      0
169956 132    169956   15    0   800    950   1050
171193 133    171193    0    0  1050   1000      0
172424 134    172424    2    0  1200      0      0
174056 135    174056    0    0  1900    500      0
175749 136    175749    7    0  2050    300      0
176273 137    176273   15    0   750   1000    900
177957 138    177957   24    0  2850   1025      0
179109 139    179109   21    0  1650      0      0
180397 140    180397   22    0  2150   2150   1150
182095 141    182095   19    0  2200    425      0
183703 142    183703    0    0  1500    775      0
184837 143    184837    0    0   650      0      0
186428 144    186428    4    0  2850    850      0
188010 145    188010    0    0  1050    675      0
189060 146    189060    0    0   600    350      0
190261 147    190261   12    0   600      0      0
192002 148    192002    3    0  1750    150      0
193136 149    193136   13    0  1250     50      0
194696 150    194696    1    0  1350    375      0
195909 151    195909   12    0   600      0      0
196991 152    196991   15    0  1050      0      0
198149 153    198149    0    0   650      0      0
199730 154    199730   10    0  1950   1100      0
201412 155    201412   12    0  2300    625      0
202548 156    202548    0    0  1150    200      0
203697 157    203697    0    0   700    275      0
204965 158    204965    0    0  1100    275      0
206134 159    206134    0    0  1050    200      0
207759 160    207759   39    0  2450   2350   1825
208998 161    208998    0    0   850    450      0
210273 162    210273    0    0  1050      0      0
211952 163    211952   10    0  1900    275      0
213283 164    213283    0    0  1000      0      0
214484 165    214484    0    0   700    550      0
216181 166    216181    1    0   950    325      0
217338 167    217338   20    0  1300      0      0
218814 168    218814    0    0  1400    450      0
220451 169    220451    5    0  2400    650      0
222145 170    222145    7    0  2050    150      0
223835 171    223835    4    0  2800    150      0
225494 172    225494    0    0  2100   1025      0
227170 173    227170   11    0  2550    800      0
228374 174    228374    0    0  1000     50      0
229769 175    229769    0    0   900    150      0
230606 176    230606   11    0  1050    850    575
